ID,Name
"CAPTOP_MIN","Kapazitätstoleranz (min.)"
"COLCON10KH_NOM","Farbstabilität bei 10.000 h (Nom)"
"COLCON10KH_MAX","Farbstabilität bei 10.000 h (Max)"
"DIMPOWER","Systemleistung beim Dimmen"
"GEARFAM","Vorschaltgerätefamilie"
"ENRGYC24","Kalifornien Titel 24"
"PLA-SON","Lampenleistung für SON"
"LUMISTEPTM","Lumistep Dimmzeit nach virtueller Mitternacht"
"FADERATEDN","Ausblendrate"
"CAPTOP_MAX","Toleranz Kapazität (max.)"
"LM100K","Lichtstromstabilität während der Nutzlebensdauer von 100.000 Stunden, bei 25 °C"
"DELTATNOM","Delta-T normale Konditionen"
"ACCPFC","PFC-Zubehör"
"PLA-SOX","Lampenleistung für SOX"
"RTLMPTYPGR","Lampentyp"
"ELCPOWCNS","Elektrische Leistungsaufnahme"
"LM50K","Lichtstromstabilität während der Nutzlebensdauer von 100.000 Stunden, bei 25 °C"
"PLO-PL-L","Energieverlust für PL-L"
"LSF16000","LSF 16kh Nenn-, 12h Zyklus"
"OUTPWIRLEN","Leitungslänge Ausgang"
"COMPOUNDIND","Misch-Indikation"
"PLO-PL-C","Energieverlust für PL-C"
"UVARE100H","UV-A-Strahlung 100 Std. (IEC)"
"OVVOLTPR320","Überspannungsschutz 320Vac"
"LIFE80SURVTC","Lebensdauer bis 80 % noch funktionsfähige bei T-Gehäuse Lebensdauer"
"FOLAHEIH","Drahthöhe H"
"SCKTCODE","Sockel-Passcode"
"LAMPEL25BN","Leistung EL 25°C basis oben, Nom."
"LM35K","Lichtstromstabilität während der Nutzlebensdauer von 100.000 Stunden, bei 25 °C"
"ULTEMPCODE","UL-Temperaturcode"
"STILTTOP","Standardaufneigung Aufsatzmontage"
"OPCIRCVLTDC_MAX","Leerlaufspannung (DC) (max.)"
"TAMBIENT_NOM","Umgebungstemperatur (Nom)"
"UNITB","Einheitstyp B"
"HEIGHT","Höhe"
"FAILL80B10","Plötzlicher Ausfallwert für L80B10"
"WCSALFADS","Auto Insert (ALF/ADS) Wire Cross Section"
"DEPR1000","Strahlungsrückgang nach 1000 Stunden"
"LMEFFPW_MAX","Bemessungslichtausbeute (max.)"
"LMEFFPW_MIN","Bemessungslichtausbeute (min.)"
"LAMCEL60","Lampenstrom EL bei ±60 % Leistung"
"UNITA","Einheitstyp A"
"RAL","RAL-Farbe"
"IPV","Schutzart (IP)"
"LI10PREL1","Lebensdauer bis 10 % Ausfall vorgeheizt, EL1h"
"TAMBIENT_MIN","Umgebungstemperatur (min.)"
"NLP2","Anzahl Lichtquellen 2"
"LMEFFPW_NOM","Nennlichtausbeute (Nom)"
"SWITCHING","Geeignet zum häufigen An- und Ausschalten"
"ASYMBEAM","Asymmetrischer Strahlungswinkel"
"PSY-SOXE","Systemleistung für SOX-E"
"INPOVVOLT","Eingangsüberspannungstoleranz"
"CALCURRENT","Bemessungsstrom"
"CIRCUITOPT","Verdrahtungsoption"
"WIRING","Interne Verdrahtung"
"LIFEYEA120","Lebensdauer in Jahren bei 3 Std. Betrieb/Tag @120 V"
"DEPR500","Strahlungsrückgang nach 500 Stunden"
"PSY-PLC","Energieverlust für PL-C"
"ENRGYSTAR","Energy Star-Zeichen"
"DESIGNGR","Design"
"MAXDIMLVL","Maximaler Dimmlevel"
"LOAC_NOM","Gesamtlänge C (Nom)"
"FOOTNOTEHID3","Fußnoten HID 3"
"SPR","Lumen-Verhältnis skotopisch/photopisch"
"LOAC_MAX","Gesamtlänge C (Max)"
"LOAC_MIN","Gesamtlänge C (Min)"
"LAMCUREM_NOM","Lampenstrom EM (Nom)"
"LINSB_MIN","Einschublänge B (Min)"
"LINSB_NOM","Einschublänge B (Nom)"
"LINSB_MAX","Einschublänge B (Max)"
"PSY-PLS","Energieverlust für PL-S"
"LAMCUREM_MAX","Lampenstrom EM (max.)"
"CAPDIAMV_MIN","Kappendurchmesser V (Min)"
"INPOWANSI","Eingangsleistung (ANSI)"
"CAPDIAMV_NOM","Kappendurchmesser V (Nom)"
"CAPDIAMV_MAX","Kappendurchmesser V (Max)"
"OUTPOWSEL","Auswahl Ausgangsleistung"
"PLO-PL-T","Energieverlust für PL-T"
"MNSVOLTPF","Leistung mit Netzspannung (DC)"
"BEAMANGLMP_NOM","Ausstrahlungswinkel (Nom)"
"PLO-PL-S","Energieverlust für PL-S"
"COLLAMP","Farbe der Lichtquelle"
"NTCRESTHR","Schwellenwert NTC-Stoßfestigkeit"
"SO-CCXD25_MAX","Farbkoordinate X (SO) (max.)"
"SO-CCXD25_MIN","Farbkoordinate X (SO) (min.)"
"REFLFIN","Reflektoroberfläche"
"MNSVOLTOP","Betrieb mit Netzspannung (DC)"
"TAMBIENT_MAX","Umgebungstemperatur (max.)"
"TIMRUNMA_MAX","Betriebsdauer (max.)"
"PHOTORISK","Fotobiologisches Risiko"
"CLRP","Farbe der Teile"
"WARRANTY","Garantiedauer"
"SO-CCXD25_NOM","Farbkoordinate X (SO) (Nom)"
"CLRCH","Farbwahl"
"PWRCONSRNG_NOM","Elektrische Leistungsaufnahme (Nom)"
"PWRCONSRNG_MAX","Elektrische Leistungsaufnahme (max.)"
"PWRCONSRNG_MIN","Elektrische Leistungsaufnahme (min.)"
"DALSTAND","DALI-Standard"
"PRT-PL-L","Lampen-Nennleistung für PL-L"
"PLCLR","Mastfarbe"
"PRT-CPOCDM","Lampen-Nennleistung für CPO-CDM"
"IGNATT","Zündungsversuche"
"BULBSHAPE","Kolbenform"
"OUTPTAWG","Leitungsquerschnitt sekundär"
"WOAI_MIN","Innendurchmesser I (Min)"
"AIM","Ausrichtungsmarkierung"
"BRPLDIAM","Durchmesser Ausleger zu Mast"
"LAMPPOWER2","Lampenleistung 2"
"RELHUMID_MIN","Relative Luftfeuchtigkeit (Betrieb) (min.)"
"WOAE_MAX","Gesamtbreite E (Max)"
"WOAE_MIN","Gesamtbreite E (Min)"
"PSY-PLT","Systemleistung für PL-T"
"FILALENGTW","Filamentlänge W"
"LAMCUREM_MIN","Lampenstrom EM (min.)"
"RELHUMID_NOM","Relative Luftfeuchtigkeit (Betrieb) (Nom)"
"RELHUMID_MAX","Relative Luftfeuchtigkeit (Betrieb) (max.)"
"LIFEHR12US","Lebensdauer 12 Std. Start (Std.)"
"TCSWITCHOF_NOM","Abschaltungstemperatur (Nom)"
"TCSWITCHOF_MIN","T-Gehäuse-Ausschalten (min.)"
"PINLEK_MIN","Pin-Länge K (Min)"
"CONTYPEOUT","Anschlussklemme sekundär"
"PINLEK_NOM","Pin-Länge K (Nom)"
"PINLEK_MAX","Pin-Länge K (Max)"
"HIPOTTE2SE","Hipot-Test (2 Sekunden)"
"GLDIM","Kabeleinführung für Dimmsignal"
"T1ESC","100% Lampenbetrieb vor Start Dim."
"CORTEMP_MIN","Ähnlichste Farbtemperatur"
"FK_FG_LP_SMART_PRODUCT","Intelligente FG-Produkte"
"INCUROPECI","Eingangsstrom (Leerlauf)"
"PLA-TL-D","Lampenleistung für TL-D"
"GLAREACC","Blendschutzzubehör"
"US-CATALOGNUMBER DESCRIPTION","Handelsgesetzbuch"
"PPFMAIN8K","PPF-Wartung 8000 Std."
"CORTEMP_NOM","Ähnlichste Farbtemperatur (Nom)"
"CORTEMP_MAX","Ähnlichste Farbtemperatur (max.)"
"CAPBASEI","Sockelinformation"
"LCABLEX_MAX","Kabellänge X (Max)"
"LCABLEX_MIN","Kabellänge X (Min)"
"LEDSPACING","Platz zwischen LEDs"
"WOAI_MAX","Innendurchmesser I (Max)"
"AMTEMP","Umgebungstemperaturbereich"
"PLCOAT","Pole coating"
"LCABLEX_NOM","Kabellänge X (Nom)"
"TRAFO","Betriebsgerät"
"STRIK3KA","Stromimpulse mit 3 kA (CM/DM)"
"REGLVLPWR","Dimmbereich"
"CTRLVOLT","Spannung Steuersignal"
"INFPL","Füllplatte"
"LLMF6000","Strahlungsrückgang nach 5000h"
"LLMF12000","LLMF 12k h Nenn-,Sockel ho."
"LLMF4000","LLMF 4k h Nenn-,Sockel ho."
"BEAMANGLMP_MIN","Abstrahlungswinkel (min.)"
"BEAMANGT_MIN","gemessener Ausstrahlungswinkel"
"BEAMANGT_MAX","gemessener Ausstrahlungswinkel"
"LUMFLUXRAT_NOM","Nennlichtstrom (Nom)"
"FOOTNOTEHID4","Fußnoten HID 4"
"TAMBIENTG_MIN","Umgebungstemperatur (Getriebe) (min.)"
"MINUNIDIST","Minimaler Abstand für gleichmäßige Ausleuchtung"
"SURF85","Surf 85"
"SURF76","Surf 76"
"CERTULRECCAN","UL Recognized Canada & US"
"LUMFLUXRAT_MIN","Nennlichtstrom (min.)"
"PSY-TL-DE","Systemleistung für TL-D ECO"
"LMAINEOL","Restlichtstrom am Ende der Nutzlebensdauer"
"FCC-MARK","FCC-Zeichen"
"LMAIN1500","Restlichtstrom 1500h"
"LSF8000","SSF 8000h Nenn-, 3h Zyklus"
"LSF28000","LSF 28000 h Ang."
"SYSPOW","Systemleistung EM"
"PRT-POWER","Lampen-Nennleistung"
"LEADWIRDIA_MAX","Eingangs-Leiterquerschnitt (max.)"
"LMAIN8000","Restlichtstrom EL 8000h"
"ETIM.V7.EF000215 A","EF000215 - Type of accessory/spare part"
"HEIC2","Höhe C2"
"SO-CCYD25_MIN","Farbkoordinate Y (SO) (min.)"
"SO-CCYD25_NOM","Farbkoordinate Y (SO) (Nom)"
"PROGDIMMOP","Optionen für programmierbares Dimmen"
"SO-CCYD25_MAX","Farbkoordinate Y (SO) (max.)"
"GRTMAT","Material Montageplatte"
"OPTC","Optic type outdoor"
"TPINTSURF_MAX","Wärmeleistung an Wärmeschnittstellenoberfläche (max.)"
"LIHR3ISUS","Lebensdauer 3 Std. Sofortstart (Std.)"
"AIMATT","Ausrichtungszubehör"
"HEIC1","Höhe C1"
"UVARED0H","UV-A-Strahlung 0 Std. (IEC)"
"NAMETYPE","Namenstyp"
"PFCUNITA","Produktfamiliencode Einheit A"
"UVBRADIAE","UV-B-Strahlung 100 Std. (IEC)"
"ALLOWWIRRE","automatiersierte Verdrahtung zugelassen"
"LPHOT70","Lebensdauer bis 70 % Photonenfluss"
"NLP","Anzahl Lichtquellen"
"OPTE","Optisches Element"
"GLMAT","Material der Kabeleinführung"
"GLMAI","Kabeleinführung Zuleitung"
"RUNUPTMDIM","Anlaufzeit vor dem Dimmen"
"PLTYP","Masttyp"
"COOLING","Kühlung"
"CIRCUITTYP","Schaltungstyp"
"PWRLOSS220","Energieverlust bei 220 V"
"APPLCODEGR","Anwendungscode"
"STRIPLEN","Abisolierlänge"
"STNDTMPMRK","Temperatur-Kennzeichnung"
"FIXLENGTH_MAX","Abstand Befestigungspunkte (max.)"
"ENERGSAVPR","Energiesparendes Produkt"
"CONWATTDEV","Leistungsabweichung"
"FIXLENGTH_MIN","Abstand Befestigungspunkte (min.)"
"FIXLENGTH_NOM","Abstand Befestigungspunkte (Nom)"
"WEEE-MARK","WEEE-Zeichen"
"PLO-TL-D","Energieverlust für PL-D"
"PPFMAIN6K","PPF-Wartung 6000 Std."
"LEAKCURR_NOM","Ableitstrom (nom.)"
"NGR","Anzahl Vorschaltgeräte"
"LEAKCURR_MAX","Ableitstrom (max.)"
"TESTSURGIL","Überspannungstest Installation"
"RAPACTFU","Schnell wirksame HBC-Sicherung"
"HEIC3","Höhe C3"
"INSTALL","Fertig zur Installation"
"LMAIN40US","Lebensdauer bis 40 % Restlichtstrom"
"HEIC4","Höhe C4"
"STBLMPOPER","Optimale Arbeitstemperatur der Lampe"
"BEAMSPRD","Ausstrahlungswinkel Leuchte"
"LEDSHAPE","Form"
"ROHS-MARK","RoHS-Zeichen"
"WAVEL_MIN","Wellenlänge (min.)"
"PRT-PLC","Lampen-Nennleistung für PL-C"
"PRT-CDO","Lampen-Nennleistung für CDO"
"PRT-CDM","Lampen-Nennleistung für CDM"
"SAFBR","Sicherheitsbügel"
"PLO-CPO","Energieverlust für CPO"
"LIFEYEAR","Lebensdauer bei 3 Std. Betrieb/Tag"
"OPVOLTDC","Normale Betriebsspannung (DC)"
"LUMISTEPDT","Lumistep Dimmzeit"
"PLO-TL5C","Energieverlust für TL5C"
"WAVEL_MAX","Wellenlänge (max.)"
"TIMRUN90_MIN","Anlaufzeit 90 % (min.)"
"TIMRUN90_NOM","Anlaufzeit 90 % (Nom)"
"TIMRUN90_MAX","Anlaufzeit 90 % (max.)"
"SYSDESCR","Lampensystembeschreibung"
"LIFE50LUM","Lebensdauer bis 50 % Restlichtstrom"
"REFLATT","Reflektoren"
"LAMPFAM2","Lampenfamiliencode 2"
"PINDIP_MAX","Pin-Durchmesser P (Max)"
"ETIMGRP","ETIM Klasse"
"PLA-TL5C","Lampenleistung für TL5C"
"STNDQUALIT","Qualitätsstandard"
"MOUNTING","Montage"
"MOLENGUS_MAX","Maximale Gesamtlänge (max.)"
"TCASEMAX_NOM","Gehäusetemperatur (max)"
"ALLOWWIRTH","Reihen-Schaltung zugelassen"
"LIGHTSREPL","Lichtquelle austauschbar"
"CONWACM","Leistungsaufnahme per Zentimeter"
"PINDIP_MIN","Pin-Durchmesser P (Min)"
"TCASEMAX_MAX","Maximum T-Gehäuse (max.)"
"PINDIP_NOM","Pin-Durchmesser P (Nom)"
"DEPRUSELIF","Strahlungsrückgang bei Nutzlebensdauer"
"PRT-PLT","Lampen-Nennleistung für PL-T"
"LCLL_MIN","Lichtschwerpunkt (LCL) [inch] (Min)"
"DIMMING","Dimmbereich"
"FIXWIDTH","Befestigungspunkt querseitig"
"LENA3","Länge A3"
"NUNIT","Anzahl der Einheiten"
"LENA4","Länge A4"
"ALLOWWIRTA","Tandem-Schaltung zugelassen"
"COUNTRY","Länderversion"
"TYPNBR","Typnummer"
"RESISTOR","Widerstand"
"CABLTYP","Anschlusskabeltyp"
"LENA1","Länge A1"
"PRT-SOXE","Lampen-Nennleistung für SOX-E"
"PRT-PLS","Lampen-Nennleistung für PL-S"
"LENA2","Länge A2"
"CAPINDIAM","Kathodenbolzendurchmesser"
"CABLENTRY","Kabelausgangspunkt"
"COLINPTERM","Farbe der Eingangsklemmen"
"PRT-TL5HT","Lampen-Nennleistung für TL5 HT"
"BULBMAT","Kolbenmaterial"
"STEP.ZRCC.CHAR.PCKCONF","Aubau Verpackung"
"SYSEFF","Lichtausbeute des Systems"
"CCC-MARK","CCC-Zeichen"
"PRT-CPO","Lampen-Nennleistung für CPO"
"MINDIMLEV","Minimaler Dimmlevel"
"LIHR12PSUS","Lebensdauer 12 Std. Programmstart (Std.)"
"OUTVOLTTOL_MIN","Ausgangsspannungstoleranz (min.)"
"OUTVOLTTOL_MAX","Ausgangsspannungstoleranz (max.)"
"DEPR8000","Strahlungsrückgang nach 500 Stunden"
"DEPR5000","Strahlungsrückgang nach 500 Stunden"
"PSY-CPO","Systemleistung für CPO"
"PFOIL","Schutzfolie"
"DEPR2000","Strahlungsrückgang nach 500 Stunden"
"AUTORSTART","Automatischer Neustart"
"PSY-CDO","Systemleistung für CDO"
"PSY-CDM","Systemleistung für CDM"
"FIXLENSUS","Befestigungspunkt längsseitig"
"EBLF_NOM","Notfall-Vorschaltgerät Lumenfaktor (EBLF) (Nom)"
"EBLF_MIN","Notfall-Vorschaltgerät Lumenfaktor (EBLF) (min.)"
"CVRACC","Optical cover/lens type accessory"
"COLLAMP2","Farbe der Lichtquelle 2"
"LEDTECH","Technischer Typ"
"TWINDING_MAX","T-Windung (max.)"
"OVERHEAT","Überhitzungsschutz"
"PRT-TL5HO","Lampen-Nennleistung für TL5 HO"
"B50L70","B50L70"
"LEADWIRDIA_MIN","Eingangs-Leiterquerschnitt (min.)"
"COATING","Beschichtung"
"BRTYP","Auslegertyp"
"COLCONS","Farbkonsistenz"
"PSY-TL5","Systemleistung für TL5"
"APPMARK","Zeichen & Zertifikate"
"LUMINT_MAX","Lichtstärke (max.)"
"STNDEMCIMM","EMC-Immunitätsstandard"
"PRT-TL5HE","Lampen-Nennleistung für TL5 HE"
"PLACDMECPO","Lampenleistung für CDMe/CPO"
"OUTCURRTOL_MAX","Toleranz Ausgangsstrom (max.)"
"LUMINT_MIN","Lichtstärke (min.)"
"LUMINT_NOM","Lichtstärke (Nom)"
"POWERTOL","Toleranz Leistungsaufnahme"
"SWITCYCL","Schaltzyklus"
"LLMF30000","LLMF 30k h Nenn-,Sockel ho."
"PRODTYP","Produkttyp"
"OUTCURRTOL_MIN","Toleranz Ausgangsstrom (min.)"
"ASYBEAM","Asymmetrischer Strahlungswinkel"
"CABCAPMAX_NOM","Kabelkapazität von Gerät zu Lampe (Nom)"
"CABCAPMAX_MAX","Kabelkapazität von Gerät zu Lampe (max.)"
"LAMPFOOT","Lampenfuß"
"PRT-TL5","Lampen-Nennleistung für TL5"
"IPCLASSLUM","Leuchten-Schutzart (IP)"
"SRGPROT","Überspannungsschutz (allgemein/differenziell)"
"OVVOLTPR280","Überspannungsschutz 380Vac"
"TEMPDESIGN_MAX","Auslegungstemperatur (max.)"
"TEMPDESIGN_MIN","Auslegungstemperatur (min.)"
"PLODP-CPO","Energieverlust für CPO beim Dimmen"
"IGNVOLT_MAX","Zündungsspannung (max.)"
"IGNVOLT_MIN","Zündspannung (min.)"
"RESPVOLT","Ansprechspannung"
"TEMPDESIGN_NOM","Auslegungstemperatur (nom.)"
"DEFAMTEMP","Default Ambient Temperature"
"LSF4000P","LSF Warm 4kh Nenn-, 3h"
"OPCONDNOTE","Operating Conditions Note"
"ILCOSCODE","ILCOS Code"
"DEFGEAR","Default Gear"
"DEFCYCTIM","Default Cycle Time"
"DEFBURNPOS","Default Burning Position"
"COMM.SAFETY","Warn- und Sicherheitshinweise"
"LEADWIRDIA_MIN2","Eingangs-Leiterquerschnitt (min.) 2"
"COMM.PRICELIST","Text für Preisliste"
"COMM.PRODBENEFITS","Produktvorteile"
"COMM.HEADERWOW","Kopfzeilen-Text"
"LEADWIRDIA2","Eingangs-Leiterquerschnitt (nom.) 2"
"COMM.INTRO","Einführungstext"
"COMM.PRODFAMTBL","Produktfamilien-Tabelle"
"LMAIN6000","Restlichtstrom 6000h"
"COMM.APPLIC","Anwendungsbereiche"
"OUTPWIRDIA_NOM2","Ausgangs-Leiterquerschnitt (nom.) 2"
"COMM.PRODFEATURES","Produktmerkmale"
"COMM.ENVIRO","Umgebung"
"COMM.DIRFORUSE","Gebrauchsanleitungen"
"COMM.SYSTEM","System"
"LEADWIRDIA_MAX2","Eingangs-Leiterquerschnitt (max.) 2"
"COMM.UNIQSELLPTS","Alleinstellungsmerkmale"
"OPERCOND","Betriebsbedingungen"
"NOTE","Hinweis"
"LOOPTHR","Möglichkeit zur Durchgangsverdrahtung"
"REGMETH","Regulierungsmethode"
"RECNTC","Empfohlener NTC-Typ"
"RECDIM","Liste empfohlener Dimmer (TE)"
"PSDIMOPT","Voreingestellte Dimmoption"
"LSF6000P","LSF Warm 6kh Nenn-, 3h"
"WIRFRM","Drahtgestellversion"
"WIRINS","Kabelisolierung"
"SUITFIXCLS","Geeignet für Aufsatz-Schutzklasse"
"DIAG","Diagnose"
"AUXOUTISO","Hilfsausgang isoliert"
"ADJOUTCUR","Einstellbarer Ausgangsstrom"
"COMPATDIM","Kompatible Dimmer"
"COLSTABIND","Farbstabilitätsindex"
"AUXOUTNON","Hilfsausgang nicht isoliert"
"GALVISO","Galvanische Trennung"
"ESDSUSC","ESD-Störanfälligkeit"
"CONFIGINT","Konfigurationsschnittstelle"
"LSTYPE","Typ der Lichtquelle"
"LSCLASS","Lichtquellen-Klasse"
"HOUSFORM","Formfaktor Gehäuse"
"LLMF2000","Strahlungsrückgang nach 2000h"
"LI10PR","Lebensd.10%Ausfallr. Warm EL3h"
"DIAMD_MAX","Durchmesser D [inch] (Max)"
"PEAKIGN_MIN","Zündimpulsspannung (min.)"
"PEAKIGN_NOM","Zündimpulsspannung (Nom)"
"PEAKIGN_MAX","Zündimpulsspannung (max.)"
"LIFEL50T50","Lebensdauer bis 50 % Anfangslichtfluss bei 50°C"
"LMAIN10US","Lebensdauer bis 10 % Restlichtstrom"
"TCMODCOFF","Modultemperaturschutz"
"PLA-SOXE","Lampenleistung für SOX-E"
"PLODP-CDM","Energieverlust für CDMe/CPO beim Dimmen"
"BALLTYPE","Vorschaltgerätetyp"
"PLODP-CDO","Energieverlust für CDO beim Dimmen"
"LEADWIRDIA","Hauptkabeldurchmesser"
"HOUSINGDIM","Abmessungen Gehäuse"
"WAVEL_NOM","Wellenlänge (Nom)"
"CVRMAT","Material optische Abdeckung/Linse"
"MECHACC","Mechanisches Zubehör"
"LIFE100_NOM","Nennlebensdauer (Nom)"
"US-CATALOGNUMBER","Handelsgesetzbuch"
"STRAINBIGP","Große Parabel"
"LAMPFAM","Lampenfamiliencode"
"GEAR","Betriebsgerät"
"LAMVEL35","Lampenspannung EL 35°C"
"TEMPINCH_MAX","Quetschungstemperatur (max.)"
"CQC-MARK","CQC-Zeichen"
"TESTSURGPC","Überspannungstest-Leistungskriterium"
"POWEREQUIV","Äquivalente Leistung"
"TEMPINCH_MIN","Quetschungstemperatur (min.)"
"TEMPINCH_NOM","Quetschungstemperatur (Nom)"
"CABL","Kabel"
"KOMBI","Kombipack"
"STARTTIME_NOM","Startzeit (Nom)"
"STARTTIME_MAX","Startzeit (max.)"
"UVCRADIA","UV-C-Strahlung"
"WIDTH","Breite"
"TOTWIDTH","Gesamte Breite"
"DESA-MARK","Design Awards"
